City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Coahuayana,MX,2022-07-17 15:09:02,18.7333,-103.6833,78.58,81,99,2.77
278,Santa Cruz,BO,2022-07-17 15:09:03,-17.8,-63.1667,57.25,72,75,13.8
279,San Carlos De Bariloche,AR,2022-07-17 15:09:03,-41.1456,-71.3082,35.35,87,75,19.57
280,Piacabucu,BR,2022-07-17 15:09:04,-10.4056,-36.4344,79.52,59,12,11.21
281,Tuatapere,NZ,2022-07-17 15:09:04,-46.1333,167.6833,55.62,62,59,14.41
282,Valparaiso,CL,2022-07-17 15:04:56,-33.0393,-71.6273,55.04,71,0,9.22
283,Saint George,US,2022-07-17 15:04:45,37.1041,-113.5841,92.79,28,0,5.75
284,Bairiki,KI,2022-07-17 15:09:05,1.3292,172.9752,78.8,78,75,4.61
285,Ancud,CL,2022-07-17 15:09:05,-41.8697,-73.8203,45.23,80,42,14.67
286,Bambous Virieux,MU,2022-07-17 15:09:06,-20.3428,57.7575,69.22,75,38,22.24
287,Evansville,US,2022-07-17 15:07:29,37.9748,-87.5558,76.19,92,100,6.91
288,Bengkulu,ID,2022-07-17 15:09:06,-3.8004,102.2655,78.26,87,72,4.56
289,Huilong,CN,2022-07-17 15:09:07,31.8111,121.655,82.92,95,100,13.4
290,Mentakab,MY,2022-07-17 15:09:07,3.4865,102.3516,79.72,83,92,1.01
291,Santiago De Cao,PE,2022-07-17 15:09:08,-7.9589,-79.2392,60.93,82,100,6.91
292,Dayong,CN,2022-07-17 15:09:08,25.0209,118.2898,81.55,92,100,1.66
293,Seymchan,RU,2022-07-17 15:09:09,62.8833,152.4333,55.58,92,100,10.51
294,Moses Lake,US,2022-07-17 15:09:09,47.1301,-119.2781,70.48,48,0,9.22
