City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Ouango,CF,4.3133,22.5552,70.16,100,100,1.43,heavy intensity rain
337,Vila Real,PT,41.3006,-7.7441,61.12,50,69,1.86,broken clouds
338,Necochea,AR,-38.5473,-58.7368,46.36,39,100,5.59,overcast clouds
339,Novodugino,RU,55.6305,34.2842,51.12,96,0,8.03,clear sky
340,Taoudenni,ML,22.6783,-3.9836,90.55,40,14,6.71,few clouds
341,Sechura,PE,-5.5569,-80.8222,63.5,78,58,13.02,broken clouds
342,Maningrida,AU,-12.0667,134.2667,81.43,26,58,11.34,broken clouds
343,Awbari,LY,26.5921,12.7805,78.01,30,0,8.86,clear sky
344,Araioses,BR,-2.89,-41.9031,76.01,85,21,4.94,few clouds
345,Manono,CD,-7.3,27.4167,70.09,54,6,4.52,clear sky
